condition_id,ring number,geology_1,geology_2,geology_3,geology_4,geology_5,geology_6,cutter speed,total thrust,grouting pressure,sync grouting volume,stock solution ratio,foam pressure,expansion rate,dosage,cutter torque,tunneling speed
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,26800.0,1.87,2.65,2.5,3.32,11.0,56.5,3680.0,26.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,23100.0,1.87,2.65,2.5,3.29,11.0,56.2,2380.0,79.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,17600.0,1.87,2.65,2.5,3.26,11.0,56.5,1750.0,40.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,30300.0,2.1,8.76,2.5,3.58,11.0,56.2,2060.0,44.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,56700.0,4.93,1.69,1.5,3.77,10.0,149.2,4080.0,16.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,21900.0,3.47,0.21,1.5,3.53,10.0,149.8,1580.0,15.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.4,56800.0,4.6,1.47,1.5,3.79,10.0,149.4,4240.0,14.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,21900.0,3.47,0.21,1.5,3.53,10.0,149.8,1580.0,15.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,58900.0,4.1,1.21,1.5,3.78,10.0,149.4,5090.0,17.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59800.0,3.2,11.24,2.5,2.37,10.0,154.5,6310.0,25.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,58300.0,3.9,0.71,1.5,3.7,10.0,149.7,4480.0,26.0
3,415.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59200.0,3.2,1.97,2.5,3.61,9.8,138.7,2240.0,2.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.4,58300.0,3.97,2.85,1.5,3.65,10.0,149.3,3620.0,9.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,57300.0,4.03,1.73,1.5,3.68,10.0,149.3,3750.0,13.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,57000.0,4.07,1.73,1.5,3.76,10.0,149.3,3490.0,18.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.4,56800.0,4.6,1.47,1.5,3.79,10.0,149.4,4240.0,14.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,56600.0,4.63,1.55,1.5,3.78,10.0,149.2,4250.0,19.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,57000.0,4.07,1.73,1.5,3.76,10.0,149.3,3490.0,18.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,56700.0,4.93,1.69,1.5,3.77,10.0,149.2,4080.0,16.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,57000.0,4.07,1.73,1.5,3.76,10.0,149.3,3490.0,18.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59700.0,4.4,3.53,2.5,3.59,10.0,149.1,3680.0,11.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.4,57300.0,4.23,1.73,1.5,3.74,10.0,148.7,3860.0,12.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,60000.0,4.37,8.62,2.5,3.7,10.0,153.8,3200.0,27.0
